"","ID","places","lattitude","longitude"
"848","2021.c.4.4.8","Missouri",38.7604815,-92.5617875
"849","2021.c.4.4.8","Mississippi",32.9715285,-89.7348497
"850","2021.c.4.extra.1","U.S.",51.4376108,7.3303862
"851","2021.c.4.extra.1","the United States's",17.789187,-64.7080574
"852","2021.c.4.extra.1","Grover Cleveland",40.72774485,-73.8482479784381
"853","2021.c.5.1.1","Nepal",28.3780464,83.9999901
"854","2021.c.5.1.3","Japan",36.5748441,139.2394179
"855","2021.c.5.1.3","U.S.",51.4376108,7.3303862
"856","2021.c.5.1.3","Hawaii",19.5938015,-155.428370097169
"857","2021.c.5.1.4","Tilbury",51.4631174,0.3643896
"858","2021.c.5.1.4","Cádiz",36.5297438,-6.2928976
"859","2021.c.5.1.4","Spain",39.3260685,-4.8379791
"860","2021.c.5.1.4","England",52.5310214,-1.2649062
"861","2021.c.5.1.5","U.S.",51.4376108,7.3303862
"862","2021.c.5.1.6","Mexico",19.4326296,-99.1331785
"863","2021.c.5.1.7","the German Empire",-35.30776825,149.1127513863
"864","2021.c.5.1.8","Montagnana",45.2333207,11.4657779
"865","2021.c.5.1.9","Britannia",55.98214625,-3.17730917323229
"866","2021.c.5.1.10","Bingerville",5.3577727,-3.8885591
"867","2021.c.5.2.1","California",36.7014631,-118.755997
"868","2021.c.5.2.1","California",36.7014631,-118.755997
"869","2021.c.5.2.2","St. Louis",38.6280278,-90.1910154
"870","2021.c.5.2.4","Italy",42.6384261,12.674297
"871","2021.c.5.2.5","Ganga",25.7240512,84.1137187
"872","2021.c.5.2.5","Parvati",16.0395701,75.7898501
"873","2021.c.5.2.6","Soviet Republic",27.3432823,117.489688070212
"874","2021.c.5.2.6","Germany",51.1638175,10.4478313
"875","2021.c.5.2.6","Czechoslovakia",48.257918,14.5007688
"876","2021.c.5.2.6","Bavaria",48.9467562,11.4038717
"877","2021.c.5.2.8","Fort Stanwix",43.21057495,-75.455287308598
"878","2021.c.5.2.8","West Point",41.3558443,-74.0078312251273
"879","2021.c.5.3.lightning.1.3","Propaganda",40.7120937,-73.9629898
"880","2021.c.5.3.lightning.1.3","U.S.",51.4376108,7.3303862
"881","2021.c.5.3.lightning.1.6","Washington",38.8950368,-77.0365427
